Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer
75,50,100,6.5,1000,20,Urea
80,50,100,6.5,1000,20,Urea
85,50,100,6.5,1000,20,Urea
90,50,100,6.5,1000,20,Urea
95,50,100,6.5,1000,20,Urea
100,50,100,6.5,1000,20,Urea
75,55,105,7,1100,25,Urea
80,55,105,7,1100,25,Urea
85,55,105,7,1100,25,Urea
90,55,105,7,1100,25,Urea
95,55,105,7,1100,25,Urea
100,55,105,7,1100,25,Urea
75,60,110,7.5,1200,30,Urea
80,60,110,7.5,1200,30,Urea
85,60,110,7.5,1200,30,Urea
90,60,110,7.5,1200,30,Urea
95,60,110,7.5,1200,30,Urea
100,60,110,7.5,1200,30,Urea
75,50,115,6.5,1300,35,Urea
80,50,115,6.5,1300,35,Urea
85,50,115,6.5,1300,35,Urea
90,50,115,6.5,1300,35,Urea
95,50,115,6.5,1300,35,Urea
100,50,115,6.5,1300,35,Urea
75,55,100,7,1400,20,DAP
80,55,100,7,1400,20,DAP
85,55,100,7,1400,20,DAP
90,55,100,7,1400,20,DAP
95,55,100,7,1400,20,DAP
100,55,100,7,1400,20,DAP
75,60,105,7.5,1500,25,DAP
80,60,105,7.5,1500,25,DAP
85,60,105,7.5,1500,25,DAP
90,60,105,7.5,1500,25,DAP
95,60,105,7.5,1500,25,DAP
100,60,105,7.5,1500,25,DAP
75,50,110,6.5,1000,30,DAP
80,50,110,6.5,1000,30,DAP
85,50,110,6.5,1000,30,DAP
90,50,110,6.5,1000,30,DAP
95,50,110,6.5,1000,30,DAP
100,50,110,6.5,1000,30,DAP
75,55,115,7,1100,35,DAP
80,55,115,7,1100,35,DAP
85,55,115,7,1100,35,DAP
90,55,115,7,1100,35,DAP
95,55,115,7,1100,35,DAP
100,55,115,7,1100,35,DAP
75,60,100,7.5,1200,20,MOP
80,60,100,7.5,1200,20,MOP
85,60,100,7.5,1200,20,MOP
90,60,100,7.5,1200,20,MOP
95,60,100,7.5,1200,20,MOP
100,60,100,7.5,1200,20,MOP
75,50,105,6.5,1300,25,MOP
80,50,105,6.5,1300,25,MOP
85,50,105,6.5,1300,25,MOP
90,50,105,6.5,1300,25,MOP
95,50,105,6.5,1300,25,MOP
100,50,105,6.5,1300,25,MOP
75,55,110,7,1400,30,MOP
80,55,110,7,1400,30,MOP
85,55,110,7,1400,30,MOP
90,55,110,7,1400,30,MOP
95,55,110,7,1400,30,MOP
100,55,110,7,1400,30,MOP
75,60,115,7.5,1500,35,MOP
80,60,115,7.5,1500,35,MOP
